,title
0,"Heboh Video Senjata Gir Dikaitkan Klithih, Admin IG di Klaten Diamankan"
1,"Cegah Tawuran-Balap Liar, JJLS Bantul Ditutup Saat Akhir Pekan"
2,"Pamer Sajam di Status WA, 4 Pemuda Kulon Progo Diciduk"
3,"Cegah Klithih di Solo, Gibran Colek Kapolres: Biar Disikat!"
4,"Klithih Marak di Jogja, Sultan HB X: Saya Ingin Hukum Ditegakkan"
5,"Pemuda di Jogja Ramai-ramai Ditelanjangi, Polisi Bantah Terkait Klithih"
6,"Nongkrong Bawa Gir Modifikasi, 4 Pelajar di Bantul Diamankan Polisi"
7,Ketemu Klithih di Jogja Monggo Kontak Nomor Ini Slur!
8,"Diduga Klithih Gegara Bawa Sabit, Pemuda di Jogja Ramai-ramai Ditelanjangi"
9,"Jalan Berlumpur 8 km Dilalui Warga Pikul Jenazah Tak Juga Dibangun, Kenapa?"
10,Bintang Emon Sindir Pemeriksaan Marshel Widianto: Kasus Kocak
11,Muhammadiyah: Kekerasan Jalanan Menghantui Ortu Sekolahkan Anak di Jogja
12,Klitih Aksi Kejahatan yang Mencoreng Jogja
13,"Anak Anggota DPRD Kebumen Tewas di Jogja, Polisi: Bukan Kasus Klithih"
14,"Klithih Kembali Muncul di Jogja, Dispar: Kontraproduktif Bagi Pariwisata"
15,Tolong! Yogyakarta Darurat Klitih Menggema
16,7 Fakta Tewasnya Anak Anggota DPRD Kebumen Jadi Korban Klithih di Jogja
17,Ternyata Ini Pemicu Anak Anggota DPRD Jadi Korban Tewas Klitih di Yogya
18,Duka Keluarga Anggota DPRD Anaknya Tewas Jadi Korban Klithih di Jogja
19,Video Tewasnya Anak DPRD Jadi Korban Klithih di Jogja Saat Cari Sahur
20,Pelajar Korban Tewas Klitih di Yogya Ternyata Anak Anggota DPRD Kebumen
21,Geger Anak DPRD Kebumen Tewas Jadi Korban Klithih di Jogja
22,Melihat Lebih Dekat TKP Klithih di Jogja yang Tewaskan Anak Anggota DPRD
23,"Anak Anggota DPRD Tewas Korban Klithih, Disdikpora DIY: Korban Siswa SMA Muha"
24,Detik-detik Anak Anggota DPRD Kebumen Korban Klithih Dilarikan Polisi ke RS
25,Polisi Ungkap Pemicu Anak Anggota DPRD Tewas Jadi Korban Klithih Jogja
26,"Cari Sahur, Pelajar SMA Yogyakarta Tewas Jadi Korban Klitih"
