,date,tweet
0,2022-04-05 04:51:24+00:00,"nDoro Sultan waktu itu (Januari 2022) ngendika: klitih cuma dibesar-besarkan, dan curiga ini by design.

Semalam ada korban klitih meninggal, dan ternyata korban adalah anak dari ketua fraksi partai. nDoro sultan ngendika: https://t.co/JaFg7FJRj0"
1,2022-04-05 01:32:07+00:00,"Klitih merembet sampai Semarang. Nggak ditindak cepat, bisa-bisa jadi tren nasional.

Sc: @.portalsemarang. https://t.co/nTWFpIlRlT"
2,2022-04-07 19:32:10+00:00,"23.08
klitih mlebu Badran 
@nizarramadhan_ 
https://t.co/x7FGsNyssY"
15,2022-04-05 01:31:59+00:00,Orang klitih pemikirannya gimana sih? Tujuannya apa? Bulan puasa padahal. GWS. Semoga sadar dan menyesal!!!
16,2022-04-05 01:31:52+00:00,@AldilaSandra Lah trus manfaate Mul Kenthit neng Yujo apa ya? Lek ga iso mbrantas klitih? :(
17,2022-04-05 01:31:48+00:00,"Klitih, siapapun pelakunya kalau sudah menghilangkan nyawa orang berhak diadili. Apa lagi itu dengan sengaja menghantam kepala dengan gir."
18,2022-04-05 01:31:20+00:00,@merapi_uncover @Upil_Jaran2 Cilik susah* disekolahe Ben pinter malah gede ne dadi klitih Ra ndolor
19,2022-04-05 01:31:18+00:00,"Bank Muamalat Buka Lowongan Kerja untuk SMA, SMK, D3 dan S1 Sampai 30 April 

1 Juta Klitih Greenpeace Final Destination

https://t.co/Ks2Unrtlwl"
20,2022-04-05 01:31:07+00:00,"@Upil_Jaran2 @penimbunrindu @anggaimaginer Kalo cari2 lahan parkirr gas.. Masalah klitih, ntar dulu orang gaada duitnya wkw"
21,2022-04-05 01:30:36+00:00,@merapi_uncover @Upil_Jaran2 Klitih tuh cuman iseng atau ngerampok juga artinya? Katanya Jogja istimewa ga beres2 ginian doang mah sepele kl polisi niat. Sama bandung juga lagi rawan.
22,2022-04-05 01:30:34+00:00,@ezacook Banyak klitih😰
23,2022-04-05 01:30:16+00:00,"smkain kesini romantisasi jogja udah makin pudar ga si menurut kalian? klo kasus klitih gini makin menjadi, jadi takut ke jogja -11fess"
24,2022-04-05 01:30:07+00:00,"@AREAJULID Skip deh ga akan ke jogja dulu setelah lebaran, keknya klitih makin merajalela."
25,2022-04-05 01:29:47+00:00,@convomf emang kalau pulang malem lebih takut klitih daripada hantu serius👍🏻👍🏻
26,2022-04-05 01:29:33+00:00,@xjjnlee Tag aku kak kalo udah tau klitih itu apa 😁 aku juga penasaran apa itu klitih
27,2022-04-05 01:29:30+00:00,"Harus ada langkah komprehensif mengatasi klitih di Jogja ini. Ada usulan? 

https://t.co/WJj6kLpfOW"
28,2022-04-05 01:29:26+00:00,"@AREAJULID ISO GA SEH IKI WONG KLITIH DIHUKUM MATEK, JANCOK EMOSI AKU DELOK IKI. DUDUK SALAH KORBAN METU BENGI, ANCEN WONG JANCUKAN IKU SG GARAI BAHAYA METU BENGI 🙂"
29,2022-04-05 01:29:25+00:00,"Klitih itu sama aja keluyuran malem2 cari udara segar, nongkrong, jajan atau liat2 yg lucu. Maknanya positive tapi sekarang bergeser kearah negative maknanya 

https://t.co/UC9Bjuuo64 https://t.co/50niXBNLsG"
30,2022-04-05 01:29:22+00:00,"@risna_az aku juga rencana pas balik kampung mau ke jogja buat sekalian liburan, tp bbrp sumber blng klitih itu biasanya ada di waktu"" kelulusan gt wndbsjjsj"
31,2022-04-05 01:29:05+00:00,klitih lebih bener di tangkep warga biar diadili sendiri wkwk. kalau ke polisi paling yaudah ditangkep selesai. sayat bales sayat. apalagi disayatnya pelan pelan beuh mantep. bekas lukanya terus dikasih air keras. seneng gw liatnya kalau beneran digituin wkwk
32,2022-04-05 01:28:44+00:00,Klitih iki kirimen nang Polehan ae cekno ngerti. Wkwk.
33,2022-04-05 01:28:34+00:00,@Ayum_gubio @ferry_kdg Ora kalungan clurit waè ben ky klitih
34,2022-04-05 01:28:09+00:00,"baca baca tentang klitih yang lagi rame sekarang, kayanya ngeri amat kalo emang bener nya nyerang random gitu. kira kira kalo kesana abis lebaran ngeri ya?"
35,2022-04-05 01:27:51+00:00,"Kalau saya usul Klitih di Jogja itu akan semakin berulang dan berulang mengapa? 
Karena hukuman yg didapat pelaku gak sepadan. Apalagi nanti kena dibawah umur. Apa nantinya hukum massa yang akan berlaku? Biar kapok itu pelaku klitih Jogja?"
36,2022-04-05 01:27:36+00:00,"Langsung proses nang embong ae ndoro. Begitu kecekel idek ndas e ate mlocot. 

Klitih Jogja Bikin Resah, Sultan Minta Proses Hukum Tanpa Pandang Umur
https://t.co/mUjMigFqKH"
37,2022-04-05 01:27:36+00:00,"@notyourstarless @rakaghfr takut, ada Klitih."
38,2022-04-05 01:27:22+00:00,@UGM_Shitposting aku sekarang sering jalan sendiri/sama kakak cewe dijalan gede gitu mana sepi bgt karna pulang tadarus malem blm tau kabar ttg klitih skrg jd takut
39,2022-04-05 01:27:21+00:00,"Yg bikihink ga bisaha tiduhur kerahak2 di pangkahal paha rehim malahah bacaha Quran massal

https://t.co/lbNIf8JX16"
40,2022-04-05 01:27:07+00:00,@mrsearth13 @fdnsh13 @ijjelambis @Tuan_Kelanaa @milonesiaa @ariamansluggish @Kdramaescapp @AREAJULID Ditambah lagi kalo yang klitih itu dah pernah dipenjara dia bakalan merasa bangga dan jadi panutan temen²nya waktu dah keluar gitu katanya.
41,2022-04-05 01:27:04+00:00,"Aksi klitih kembali terjadi di Yogyakarta pada Minggu (3/2/2022) dini hari. Kali ini, klitih memakan korban jiwa seorang pelajar SMA anak anggota DPRD https://t.co/JxrYjvWIjY"
42,2022-04-05 01:26:30+00:00,"tegas ama radikal dan penipu binary dan artis porno
ini klitih jogja dan sejenisnya yang sangat jahat dibiarkan mulu

wkwkwkw apes cemen"
43,2022-04-05 01:26:23+00:00,"@HetsiyHetsiy1 @Tatam_Fadholi @juniblack007 Antar geng 

https://t.co/UDh1dsTEkl

Anak anggota DPRD Kebumen Madkhan Anis, inisial D (18), tewas akibat kejahatan klitih di Jogjakarta. Polisi menyebut perbuatan itu dipicu kejar-kejaran motor."
44,2022-04-05 01:26:06+00:00,@TongSate Klitih ini seharusnya dibilang teroris Om..kerjaannya meneror orng2. 🤦🏻‍♂️
45,2022-04-05 01:25:49+00:00,@jogjamnfs Klitih ya?
46,2022-04-05 01:25:38+00:00,"Jogja asik kalah sebelum magrib.. 
Habis magrib full klitih 😔"
47,2022-04-05 01:25:33+00:00,"@kumparan Innalilahi wainnailaihiroji'un ..
Semoga klitih ndang di berantas !

Nitip https://t.co/fg7F2iaVDv"
48,2022-04-05 01:25:25+00:00,"@humas_jogja Udah dari tahun ke tahun gak pernah ada evaluasi dr pak Sultan, Patrolipun kayak hanya sebatas formalitas, kalo emg niat ya bentuk pasukkan khusus buat mencari dalang dan akar2 klitih yg berasal dr sekolah2....tapi ya gtuuu gak pernah ada evaluasi"
49,2022-04-05 01:25:04+00:00,"@AsdiputraIwan @machmud_w1 @bebet98 @HambaAl98950325 @KOOLKlDZ @napalutong @Upil_Jaran2 Nah ini contoh kurang update, klitih itu random mas, gak pandang target"
50,2022-04-05 01:25:03+00:00,@Embercettembok @sundaruu @karamelmmakiato @Upil_Jaran2 Kalau begal masih mau ambil harta benda yang di bawa korban kalau Klitih biasanya melukai korban saja
51,2022-04-05 01:24:45+00:00,@AREAJULID napa si ga klitih dirinya sendiri aja?
52,2022-04-05 01:23:31+00:00,"@Embercettembok @sundaruu @karamelmmakiato @anangsaputra97 @Upil_Jaran2 Begal itu perampokan, klitih cuma asal bacok orang tapi pelaku gak ambil apapun dari korban"
53,2022-04-05 01:23:05+00:00,@lyndaibrahim Kayanya klitih itu problem yang sama dengan gang bermotor di Bandung. Pelakunya anak smp/sma yang cari validasi depan gangnya untuk bisa diterima gang dengan melakukan tindak kriminal/tawuran.
54,2022-04-05 01:23:02+00:00,"@AREAJULID klitih ini kan dilakuin mostly sama anak2 kecil ya. nah kalo misal dihukum pun gabakal bisa pasti alasanya masih dibawah umur. paling bener ya peran orang tuanya sih yg harus jalan disini. yg jd pertanyaan, masa polisi dan jajarannya gabisa memberantas sih hal2 ky gini????"
55,2022-04-05 01:22:59+00:00,Hi mau liburan ke jogja tapi takut bgt ada klitih 🙃 semoga pelaku2 nya nya segera tertangkap. Dan jogja bebas dari klitih
56,2022-04-05 01:22:45+00:00,@diffanyaaa korban klitih to ..yg sabar mba
57,2022-04-05 01:22:44+00:00,@genta_radin @diffanyaaa Ii apa klitih
58,2022-04-05 01:22:33+00:00,Klitih apasi? Dijogja kenapa? Itu kenapa bisa diserang? Tbtb tanpa alasan gitu??
59,2022-04-05 01:22:32+00:00,"@rasaraba @kratonjogja @humas_jogja Coba klitih neng Jakarta, Bandung opo Jateng. Netizen mesti Wis menghujat gubernur nya dengan seenak udel nya sendiri. Untung di Jogja, gubernur aman dari hujatan netizen yang maha benar. . 😅"
60,2022-04-05 01:21:40+00:00,Sedih banget rasanya kalau memposisikan diri sbg keluarga korban :( Semoga klitih bener2 diusut tuntas. https://t.co/2X9oMsD9LY
61,2022-04-05 01:21:18+00:00,"@diwanfingga @Upil_Jaran2 patran ki cedak omahku lek
nguawor og meh golek saur we kudu waspada klitih"
